Profit and Loss,,,,,,,,,,,,,
"MVR Digital, LLC",,,,,,,,,,,,,
"January-December, 2025",,,,,,,,,,,,,

Distribution account,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,December 2025,Total
Total for Pension Expense,,,,,,,,,270.00,,,,$270.00
Product research samples,,,,566.56,,,,,4.95,63.15,,,634.66
QuickBooks Payments Fees,27.13,25.00,239.53,216.00,237.82,49.76,250.08,232.05,233.79,223.41,256.05,244.75,"2,235.37"
recruitment expense,,"16,544.00",,,,,49.98,,"1,508.13","1,255.99","1,000.00","1,000.00","21,358.10"
Salaries & Wages,"13,119.28","19,219.48","19,914.14","19,914.14","19,914.14","22,341.14","19,914.14","19,914.14","19,914.14","19,042.35","16,147.42","38,027.53","247,382.04"
Taxes and licenses,,,,,,,,,,,,,
Business licenses,,,,,,,,75.00,,,,,75.00
Employer Taxes,"1,373.60","1,909.08","1,767.96","1,770.04","1,736.80","1,706.06","1,464.40","1,464.40","1,464.40","1,397.71","1,179.33","2,854.27","20,088.05"
Total for Taxes and licenses,"1,373.60","1,909.08","1,767.96","1,770.04","1,736.80","1,706.06","1,464.40","1,539.40","1,464.40","1,397.71","1,179.33","2,854.27","$20,163.05"
Travel expenses,371.73,"4,704.71","2,366.56","4,074.59",526.30,"1,003.38",28.92,,"8,056.97",-538.19,"-2,636.57",357.44,"18,315.84"
Utilities,267.52,,249.85,309.94,,130.56,79.31,36.02,112.15,107.92,121.80,194.22,"1,609.29"
Phone,86.47,86.47,86.47,86.47,86.44,99.92,87.39,87.36,142.81,102.34,102.38,102.38,"1,156.90"
Utilities,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,,528.00
Total for Utilities,401.99,134.47,384.32,444.41,134.44,278.48,214.70,171.38,302.96,258.26,272.18,296.60,"$3,294.19"
Total for Expenses,"63,576.20","91,469.88","69,467.75","67,644.79","65,714.46","81,972.56","75,614.69","76,780.70","79,421.82","72,315.02","74,064.00","99,934.70","$917,976.57"
Net Operating Income,"32,237.22","-29,795.16","-2,772.70","10,864.11","29,074.40","-1,598.17","71,871.99","24,619.87","22,768.65","36,428.23","54,812.43","9,721.50","$258,232.37"
Other Income,,,,,,,,,,,,,
Late Fee Income,69.05,145.54,153.80,78.44,4.49,2.93,188.32,114.99,,43.88,142.83,,944.27
Total for Other Income,69.05,145.54,153.80,78.44,4.49,2.93,188.32,114.99,,43.88,142.83,,$944.27
Net Other Income,69.05,145.54,153.80,78.44,4.49,2.93,188.32,114.99,,43.88,142.83,,$944.27
Net Income,"32,306.27","-29,649.62","-2,618.90","10,942.55","29,078.89","-1,595.24","72,060.31","24,734.86","22,768.65","36,472.11","54,955.26","9,721.50","$259,176.64"



"Cash Basis Friday, January 30, 2026 10:12 PM GMTZ",,,,,,,,,,,,,
